iter	MultiClass
0	1.095254525
1	1.092150138
2	1.089604477
3	1.087436329
4	1.085301978
5	1.083468449
6	1.081916355
7	1.080732012
8	1.079456953
9	1.078316891
10	1.077250602
11	1.076414239
12	1.075532703
13	1.074539043
14	1.073894641
15	1.073241179
16	1.072437616
17	1.071807448
18	1.071158384
19	1.070601339
20	1.070091569
21	1.069729385
22	1.069075777
23	1.068729295
24	1.068268332
25	1.067721282
26	1.067306263
27	1.066971713
28	1.066332548
29	1.065941901
30	1.065563038
31	1.065235658
32	1.064946136
33	1.064682722
34	1.064453823
35	1.064221043
36	1.063968736
37	1.0637037
38	1.063418567
39	1.063196387
40	1.062996163
41	1.062697096
42	1.062369514
43	1.062173667
44	1.06199448
45	1.061655317
46	1.061448945
47	1.06126823
48	1.060931038
49	1.060704266
50	1.060523374
51	1.060266886
52	1.060032683
53	1.059894771
54	1.059728636
55	1.059549441
56	1.059385733
57	1.059165877
58	1.058883807
59	1.058735073
60	1.058563517
61	1.058388466
62	1.058239004
63	1.0581153
64	1.057895511
65	1.05773541
66	1.057535726
67	1.057336602
68	1.0572283
69	1.057011218
70	1.056742512
71	1.056595677
72	1.056379918
73	1.056270862
74	1.056025134
75	1.055821511
76	1.055619588
77	1.055468997
78	1.055305448
79	1.055139256
80	1.055037917
81	1.054832414
82	1.054705192
83	1.054609858
84	1.054382038
85	1.05419098
86	1.054004392
87	1.053772064
88	1.053614063
89	1.053484656
90	1.053370933
91	1.053188294
92	1.053075822
93	1.052925705
94	1.05270401
95	1.052497069
96	1.052343374
97	1.052164526
98	1.052014882
99	1.051813815
100	1.051635941
101	1.05157413
102	1.051427414
103	1.051289651
104	1.051165807
105	1.051056267
106	1.050941198
107	1.050768514
108	1.050650681
109	1.050533629
110	1.050412961
111	1.050343139
112	1.050256426
113	1.050102123
114	1.049930021
115	1.049761383
116	1.049574818
117	1.049416524
118	1.049305544
119	1.04917356
120	1.04902156
121	1.048852448
122	1.048739198
123	1.048555675
124	1.048407549
125	1.048282695
126	1.048148271
127	1.048016084
128	1.047935385
129	1.047748998
130	1.047646402
131	1.047535385
132	1.047462149
133	1.047350243
134	1.047254979
135	1.047106949
136	1.046976883
137	1.046818551
138	1.046678791
139	1.046558681
140	1.046462963
141	1.046353414
142	1.046179518
143	1.046000986
144	1.045879362
145	1.045801254
146	1.045658916
147	1.045539944
148	1.045432368
149	1.04527674
150	1.04517592
151	1.045079539
152	1.044900768
153	1.044726015
154	1.04460178
155	1.044525666
156	1.044396924
157	1.044302992
158	1.044111669
159	1.043920123
160	1.043775326
161	1.043664819
162	1.043478793
163	1.043379886
164	1.043252873
165	1.043086336
166	1.042929788
167	1.042778904
168	1.042704459
169	1.042596055
170	1.042432358
171	1.042299879
172	1.042138874
173	1.041961316
174	1.04184185
175	1.041737988
176	1.041590438
177	1.041491988
178	1.041309296
179	1.04121486
180	1.041061055
181	1.040981214
182	1.040801156
183	1.040649232
184	1.040514756
185	1.040368174
186	1.040227907
187	1.040115394
188	1.039940783
189	1.039816166
190	1.039663832
191	1.039567756
192	1.039484476
193	1.039364773
194	1.039233051
195	1.039118725
196	1.038967673
197	1.038862909
198	1.038718967
199	1.038620082
200	1.038478745
201	1.038338623
202	1.038199828
