iter	Passed	Remaining
0	59	59741
1	71	35659
2	78	26136
3	89	22191
4	96	19144
5	105	17434
6	112	15957
7	121	15105
8	128	14119
9	137	13618
10	144	12966
11	157	12938
12	167	12722
13	175	12332
14	184	12111
15	194	11968
16	204	11808
17	213	11634
18	223	11519
19	232	11392
20	241	11277
21	252	11243
22	264	11254
23	274	11157
24	284	11112
25	294	11023
26	304	10961
27	313	10889
28	323	10819
29	333	10793
30	343	10722
31	352	10664
32	363	10666
33	372	10595
34	384	10595
35	393	10539
36	403	10494
37	413	10466
38	423	10424
39	434	10420
40	442	10352
41	451	10307
42	461	10263
43	467	10160
44	476	10117
45	483	10028
46	491	9970
47	498	9891
48	506	9837
49	514	9767
50	520	9687
51	529	9653
52	537	9603
53	545	9562
54	552	9494
55	561	9468
56	568	9407
57	576	9369
58	584	9318
59	594	9310
60	601	9253
61	611	9245
62	618	9205
63	627	9172
64	635	9139
65	643	9110
66	651	9065
67	659	9042
68	666	8998
69	675	8976
70	682	8925
71	691	8907
72	698	8870
73	707	8850
74	713	8801
75	724	8808
76	731	8767
77	740	8751
78	747	8712
79	758	8722
80	765	8684
81	773	8662
82	780	8618
83	789	8612
84	796	8576
85	806	8568
86	814	8543
87	821	8517
88	828	8475
89	836	8459
90	843	8424
91	852	8410
92	858	8374
93	866	8353
94	873	8322
95	882	8309
96	889	8279
97	898	8265
98	905	8241
99	913	8223
100	920	8197
101	927	8164
102	936	8157
103	942	8121
104	953	8125
105	959	8090
106	968	8080
107	975	8060
108	984	8046
109	990	8016
110	999	8004
111	1006	7981
112	1017	7989
113	1024	7960
114	1034	7960
115	1040	7930
116	1049	7923
117	1055	7890
118	1065	7887
119	1071	7857
120	1082	7863
121	1088	7832
122	1098	7830
123	1104	7800
124	1113	7793
125	1119	7764
126	1126	7745
127	1134	7731
128	1141	7707
129	1150	7699
130	1157	7679
131	1165	7665
132	1172	7642
133	1181	7636
134	1187	7610
135	1198	7611
136	1203	7584
137	1213	7580
138	1220	7557
139	1229	7551
140	1235	7524
141	1245	7528
142	1251	7501
143	1260	7494
144	1266	7469
145	1275	7460
146	1281	7437
147	1289	7420
148	1295	7401
149	1303	7387
150	1312	7380
151	1318	7356
152	1328	7352
153	1334	7333
154	1343	7323
155	1349	7301
156	1361	7311
157	1370	7302
158	1380	7299
159	1390	7301
160	1398	7285
161	1405	7271
162	1414	7265
163	1426	7272
164	1432	7251
165	1443	7252
166	1449	7230
167	1457	7217
168	1463	7195
169	1471	7183
170	1478	7167
171	1486	7153
172	1493	7140
173	1500	7124
174	1509	7114
175	1515	7093
176	1523	7084
177	1529	7062
178	1538	7056
179	1544	7035
180	1554	7032
181	1561	7016
182	1570	7011
183	1577	6996
184	1585	6986
185	1592	6970
186	1600	6959
187	1609	6951
188	1617	6942
189	1626	6933
190	1633	6920
191	1641	6906
192	1648	6894
193	1656	6880
194	1662	6863
195	1670	6853
196	1676	6835
197	1685	6826
198	1691	6808
199	1699	6797
200	1707	6787
201	1715	6777
202	1722	6762
203	1729	6748
204	1737	6738
205	1743	6720
206	1753	6717
207	1760	6701
208	1769	6697
209	1776	6683
210	1784	6673
211	1791	6658
212	1799	6649
213	1807	6639
214	1817	6634
215	1823	6620
216	1832	6613
217	1839	6599
218	1848	6592
219	1856	6580
220	1864	6571
221	1870	6556
222	1877	6543
223	1885	6532
224	1891	6516
225	1900	6508
226	1907	6493
227	1914	6483
228	1920	6467
229	1928	6454
230	1935	6442
231	1941	6426
232	1950	6420
233	1957	6408
234	1966	6403
235	1973	6388
236	1982	6381
237	1987	6364
238	1996	6356
